col1,col2,correlation
On-board service,Checkin service,0.25083912943027586
On-board service,Cleanliness,0.5512944997700575
On-board service,Online boarding,0.13950576392456662
On-board service,Departure Delay in Minutes,-0.03764094789855613
On-board service,Arrival Delay in Minutes,-0.041360402880938674
Leg room service,Age,0.0837622693347125
Leg room service,Flight Distance,-0.030315769893679328
Leg room service,Seat comfort,0.13613569615059876
Leg room service,Departure/Arrival time convenient,0.02942185681246713
Leg room service,Food and drink,0.07416052955978665
Leg room service,Gate location,-0.007407160243691637
Leg room service,Inflight wifi service,0.03358913516145711
Leg room service,Inflight entertainment,0.16073054356715893
Leg room service,Online support,0.13843342027898844
Leg room service,Ease of Online booking,0.35512202867682413
Leg room service,On-board service,0.4117460074951798
Leg room service,Leg room service,1.0
Leg room service,Baggage handling,0.41164030311897465
Leg room service,Checkin service,0.16794189089103692
Leg room service,Cleanliness,0.41150492842226577
Leg room service,Online boarding,0.11290042550600306
Leg room service,Departure Delay in Minutes,0.0036595932530370384
Leg room service,Arrival Delay in Minutes,5.369102881071673E-4
Baggage handling,Age,-0.015452234206265049
Baggage handling,Flight Distance,0.019768397114218596
Baggage handling,Seat comfort,0.11848862920676134
Baggage handling,Departure/Arrival time convenient,0.0673961550760125
Baggage handling,Food and drink,0.03637000326912943
Baggage handling,Gate location,-4.0060504872233883E-4
Baggage handling,Inflight wifi service,0.03825080731190125
Baggage handling,Inflight entertainment,0.11721278107063962
Baggage handling,Online support,0.10244393817842846
Baggage handling,Ease of Online booking,0.3983216690257365
Baggage handling,On-board service,0.5304477973543267
Baggage handling,Leg room service,0.41164030311897465
Baggage handling,Baggage handling,1.0
Baggage handling,Checkin service,0.24085761635767147
Baggage handling,Cleanliness,0.6318032914349733
Baggage handling,Online boarding,0.11192021457624837
Baggage handling,Departure Delay in Minutes,-0.009985110355944704
Baggage handling,Arrival Delay in Minutes,-0.014211858947579252
Checkin service,Age,0.03184506136821707
Checkin service,Flight Distance,0.002455650444518451
Checkin service,Seat comfort,0.041213652155742464
Checkin service,Departure/Arrival time convenient,0.06279376966183693
Checkin service,Food and drink,0.011897905189420344
Checkin service,Gate location,-0.03185911056588124
Checkin service,Inflight wifi service,0.09250843126013958
Checkin service,Inflight entertainment,0.22411985113588184
Checkin service,Online support,0.20682384414338523
Checkin service,Ease of Online booking,0.13774359691898969
Checkin service,On-board service,0.2508391294302759
Checkin service,Leg room service,0.1679418908910369
Checkin service,Baggage handling,0.24085761635767147
Checkin service,Checkin service,1.0
Checkin service,Cleanliness,0.24173397443439207
Checkin service,Online boarding,0.1843444163951996
Checkin service,Departure Delay in Minutes,-0.020895741701441744
Checkin service,Arrival Delay in Minutes,-0.023841793784607435
Cleanliness,Age,-0.018271112674800354
Cleanliness,Flight Distance,0.009431812539736151
Cleanliness,Seat comfort,0.10847507365055681
Cleanliness,Departure/Arrival time convenient,0.06712570301172989
Cleanliness,Food and drink,0.03341590318510404
Cleanliness,Gate location,-0.0017047131997026909
Cleanliness,Inflight wifi service,0.038263457149277987
Cleanliness,Inflight entertainment,0.10945125959795397
Cleanliness,Online support,0.09572614259754116
Cleanliness,Ease of Online booking,0.4176745704056885
Cleanliness,On-board service,0.5512944997700575
Cleanliness,Leg room service,0.41150492842226566
Cleanliness,Baggage handling,0.6318032914349733
Cleanliness,Checkin service,0.24173397443439223
Cleanliness,Cleanliness,1.0
Cleanliness,Online boarding,0.10623767812562392
Cleanliness,Departure Delay in Minutes,-0.062134346060260096
Cleanliness,Arrival Delay in Minutes,-0.06704198174952392
Online boarding,Age,0.037972914803014256
Online boarding,Flight Distance,0.009603524945973925
Online boarding,Seat comfort,0.1303964840900625
